oracle_id,capability_id,polarity,case_id,criterion,must_not
CAP-001-P,CAP-001,positive,trigger-01,"Starts from funded demand and maps mandatory functions/dependencies before naming securities","ticker list first"
CAP-001-N,CAP-001,negative,robust-01,"Rejects the requested unsourced stock list and restores functions-before-tickers sequencing","unsourced list"
CAP-002-P,CAP-002,positive,trigger-02,"Tests constraint reality, scarcity duration, shareholder rent capture, and expectations as non-compensating gates","high total score overrides a failed gate"
CAP-002-N,CAP-002,negative,robust-02,"Rejects the logo/monopoly premise and requires every hard gate to stand independently","assume monopoly"
CAP-003-P,CAP-003,positive,trigger-04,"Separates physical scarcity, company monetization, and market discovery clocks","single blended clock"
CAP-003-N,CAP-003,negative,robust-01,"Does not turn AI demand hype into one timing claim and requires all three clocks","AI growth proves timing"
CAP-004-P,CAP-004,positive,trigger-02,"Requires a funded-demand-to-fully-diluted-per-share free-cash-flow bridge","revenue alone proves equity capture"
CAP-004-N,CAP-004,negative,trigger-06,"Does not infer listed-equity capture without legal-entity ownership and a per-share bridge","constraint automatically means stock profits"
CAP-005-P,CAP-005,positive,trigger-03,"Compares owner, unlocker, substitute, tollbooth, absorber, and public-proxy roles","owner only"
CAP-005-N,CAP-005,negative,trigger-03,"Does not assume the upstream or bottleneck owner is always the best security","upstream is always best"
CAP-006-P,CAP-006,positive,trigger-02,"Requires independent origins, available primary evidence, and a documented negative search","echo sources count as independent"
CAP-006-N,CAP-006,negative,robust-02,"Treats a partner logo as a lead rather than proof and tests alternative hypotheses","partner logo as proof"
CAP-007-P,CAP-007,positive,trigger-05,"Uses valuation, capital-cycle response, counterevidence, catalysts, and predeclared kill switches","price-only postmortem"
CAP-007-N,CAP-007,negative,trigger-05,"Does not treat a price decline alone as fundamental thesis falsification","price decline alone proves thesis false"
CAP-008-P,CAP-008,positive,robust-03,"Measures portfolio overlap by shared causal root drivers rather than ticker count","ticker count equals diversification"
CAP-008-N,CAP-008,negative,trigger-04,"Appends a version linked to the prior immutable thesis instead of overwriting history","overwrite original thesis"
CAP-009-P,CAP-009,positive,trigger-02,"Produces a concise decision layer plus a machine-readable evidence layer","unstructured conclusion only"
CAP-009-N,CAP-009,negative,robust-01,"Does not return an unstructured unsourced stock list as the decision artifact","unsourced list"
