symbol,market,source,source_path,cache_path,metadata_path,asset_class,tradability,currency,timezone,quality_score,quality_grade,quality_warnings,gap_ratio,max_abs_daily_return,bars,start,end
511010.SS,CN_ETF,yahoo,config/tradable_universe_seed_220_yahoo.csv,data_cache_seed_yahoo_220_public/CN_ETF/511010.SS.csv,data_cache_seed_yahoo_220_public/CN_ETF/511010.SS.metadata.json,BOND,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,CNY,Asia/Shanghai,100.0,A,,0.0012480499219968,0.0167682432347914,3206,2013-03-05,2026-06-04
511220.SS,CN_ETF,yahoo,config/tradable_universe_seed_220_yahoo.csv,data_cache_seed_yahoo_220_public/CN_ETF/511220.SS.csv,data_cache_seed_yahoo_220_public/CN_ETF/511220.SS.metadata.json,BOND,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,CNY,Asia/Shanghai,85.0,B,extreme_daily_return_gt_35pct,0.0014342058085335,8.9863810384181,2790,2014-11-13,2026-06-04
518880.SS,CN_ETF,yahoo,config/tradable_universe_seed_220_yahoo.csv,data_cache_seed_yahoo_220_public/CN_ETF/518880.SS.csv,data_cache_seed_yahoo_220_public/CN_ETF/518880.SS.metadata.json,COMMODITY,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,CNY,Asia/Shanghai,100.0,A,,0.0012808197246237,0.1000090698249177,3124,2013-07-18,2026-06-04
159869.SZ,CN_ETF,yahoo,config/tradable_universe_seed_220_yahoo.csv,data_cache_seed_yahoo_220_public/CN_ETF/159869.SZ.csv,data_cache_seed_yahoo_220_public/CN_ETF/159869.SZ.metadata.json,ETF,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,CNY,Asia/Shanghai,100.0,A,,0.002356637863315,0.1004098246774585,1274,2021-02-25,2026-06-04
159901.SZ,CN_ETF,yahoo,config/tradable_universe_seed_220_yahoo.csv,data_cache_seed_yahoo_220_public/CN_ETF/159901.SZ.csv,data_cache_seed_yahoo_220_public/CN_ETF/159901.SZ.metadata.json,ETF,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,CNY,Asia/Shanghai,85.0,B,extreme_daily_return_gt_35pct,0.0008946544397226,1.0347956972606769,4472,2008-01-02,2026-06-04
159915.SZ,CN_ETF,yahoo,config/tradable_universe_seed_220_yahoo.csv,data_cache_seed_yahoo_220_public/CN_ETF/159915.SZ.csv,data_cache_seed_yahoo_220_public/CN_ETF/159915.SZ.metadata.json,ETF,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,CNY,Asia/Shanghai,100.0,A,,0.0014180374361883,0.2000000512728124,3527,2011-09-20,2026-06-04
159919.SZ,CN_ETF,yahoo,config/tradable_universe_seed_220_yahoo.csv,data_cache_seed_yahoo_220_public/CN_ETF/159919.SZ.csv,data_cache_seed_yahoo_220_public/CN_ETF/159919.SZ.metadata.json,ETF,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,CNY,Asia/Shanghai,100.0,A,,0.001174398120963,0.1106802470288665,3407,2012-05-07,2026-06-04
159920.SZ,CN_ETF,yahoo,config/tradable_universe_seed_220_yahoo.csv,data_cache_seed_yahoo_220_public/CN_ETF/159920.SZ.csv,data_cache_seed_yahoo_220_public/CN_ETF/159920.SZ.metadata.json,ETF,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,CNY,Asia/Shanghai,100.0,A,,0.0015087507543753,0.1004183525442341,3315,2012-08-09,2026-06-04
159922.SZ,CN_ETF,yahoo,config/tradable_universe_seed_220_yahoo.csv,data_cache_seed_yahoo_220_public/CN_ETF/159922.SZ.csv,data_cache_seed_yahoo_220_public/CN_ETF/159922.SZ.metadata.json,ETF,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,CNY,Asia/Shanghai,85.0,B,extreme_daily_return_gt_35pct,0.0015556938394523,1.5358200718701478,3215,2013-02-06,2026-06-04
159928.SZ,CN_ETF,yahoo,config/tradable_universe_seed_220_yahoo.csv,data_cache_seed_yahoo_220_public/CN_ETF/159928.SZ.csv,data_cache_seed_yahoo_220_public/CN_ETF/159928.SZ.metadata.json,ETF,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,CNY,Asia/Shanghai,85.0,B,extreme_daily_return_gt_35pct,0.001294498381877,0.7506595003611596,3091,2013-08-23,2026-06-04
159949.SZ,CN_ETF,yahoo,config/tradable_universe_seed_220_yahoo.csv,data_cache_seed_yahoo_220_public/CN_ETF/159949.SZ.csv,data_cache_seed_yahoo_220_public/CN_ETF/159949.SZ.metadata.json,ETF,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,CNY,Asia/Shanghai,100.0,A,,0.001670146137787,0.2001982489583955,2396,2016-06-30,2026-06-04
159995.SZ,CN_ETF,yahoo,config/tradable_universe_seed_220_yahoo.csv,data_cache_seed_yahoo_220_public/CN_ETF/159995.SZ.csv,data_cache_seed_yahoo_220_public/CN_ETF/159995.SZ.metadata.json,ETF,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,CNY,Asia/Shanghai,100.0,A,,0.0026075619295958,0.1000935385889054,1535,2020-01-20,2026-06-04
510180.SS,CN_ETF,yahoo,config/tradable_universe_seed_220_yahoo.csv,data_cache_seed_yahoo_220_public/CN_ETF/510180.SS.csv,data_cache_seed_yahoo_220_public/CN_ETF/510180.SS.metadata.json,ETF,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,CNY,Asia/Shanghai,100.0,A,,0.0008946544397226,0.1000000189014692,4472,2008-01-02,2026-06-04
510300.SS,CN_ETF,yahoo,config/tradable_universe_seed_220_yahoo.csv,data_cache_seed_yahoo_220_public/CN_ETF/510300.SS.csv,data_cache_seed_yahoo_220_public/CN_ETF/510300.SS.metadata.json,ETF,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,CNY,Asia/Shanghai,100.0,A,,0.001174398120963,0.1000520278339168,3407,2012-05-04,2026-06-04
510500.SS,CN_ETF,yahoo,config/tradable_universe_seed_220_yahoo.csv,data_cache_seed_yahoo_220_public/CN_ETF/510500.SS.csv,data_cache_seed_yahoo_220_public/CN_ETF/510500.SS.metadata.json,ETF,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,CNY,Asia/Shanghai,100.0,A,,0.0015561780267662,0.1627521694221405,3214,2013-02-06,2026-06-04
510880.SS,CN_ETF,yahoo,config/tradable_universe_seed_220_yahoo.csv,data_cache_seed_yahoo_220_public/CN_ETF/510880.SS.csv,data_cache_seed_yahoo_220_public/CN_ETF/510880.SS.metadata.json,ETF,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,CNY,Asia/Shanghai,85.0,B,extreme_daily_return_gt_35pct,0.0008946544397226,1.4014273116576743,4472,2008-01-02,2026-06-04
512100.SS,CN_ETF,yahoo,config/tradable_universe_seed_220_yahoo.csv,data_cache_seed_yahoo_220_public/CN_ETF/512100.SS.csv,data_cache_seed_yahoo_220_public/CN_ETF/512100.SS.metadata.json,ETF,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,CNY,Asia/Shanghai,85.0,B,extreme_daily_return_gt_35pct,0.002147766323024,1.7195545267556804,2329,2016-09-29,2026-06-04
512480.SS,CN_ETF,yahoo,config/tradable_universe_seed_220_yahoo.csv,data_cache_seed_yahoo_220_public/CN_ETF/512480.SS.csv,data_cache_seed_yahoo_220_public/CN_ETF/512480.SS.metadata.json,ETF,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,CNY,Asia/Shanghai,85.0,B,extreme_daily_return_gt_35pct,0.0023557126030624,1.0,1699,2019-05-08,2026-06-04
