qbvs_field,quantlab_field,type,meaning,rule
bundle.manifest.schema_version,researchbus.schema_version,string,must equal qbvs-quantlab-evidence-bundle-v1,schema guard
bundle.manifest.bundle_dir,independent_validation_runs.manifest_path,string,path to QBVS external evidence bundle,required
bundle.manifest.source_run_dir,independent_validation_runs.source_run_dir,string,QBVS run dir containing raw summary/results,required
bundle.manifest.engine,independent_validation_runs.engine,string,exact_backtest currently preferred,required
bundle.manifest.ingestion_mode,independent_validation_runs.ingestion_mode,string,must be external_evidence_only,hard guard
bundle.manifest.writes_quantlab_database,independent_validation_runs.writes_quantlab_database,boolean,must be false,hard guard
bundle.manifest.writes_quantlab_source,independent_validation_runs.writes_quantlab_source,boolean,must be false,hard guard
payload.user_acceptance_floor.total_return_gap_vs_buy_hold_min,independent_validation_runs.floor_total_gap_min,float,-0.08 user floor,metric policy
payload.user_acceptance_floor.annualized_return_gap_vs_buy_hold_min,independent_validation_runs.floor_annualized_gap_min,float,-0.03 user floor,metric policy
payload.user_acceptance_floor.drawdown_improvement_min,independent_validation_runs.floor_drawdown_improvement_min,float,-0.005 tolerance,metric policy
candidate.strategy_id,independent_validation_candidates.strategy_id,string,behavior strategy identifier,required
candidate.samples,independent_validation_candidates.samples,integer,validation sample count,required
candidate.pass_rate,independent_validation_candidates.pass_rate,float,share passing user floors,required
candidate.avg_total_gap,independent_validation_candidates.avg_total_gap,float,strategy total return minus buy-hold total return,required
candidate.avg_annualized_gap,independent_validation_candidates.avg_annualized_gap,float,strategy annualized return minus buy-hold annualized return,required
candidate.avg_drawdown_improvement,independent_validation_candidates.avg_drawdown_improvement,float,positive means less drawdown than buy-hold,required
candidate.avg_var_5,independent_validation_candidates.avg_var_5,float,5 percent value-at-risk proxy,risk metric
candidate.avg_cvar_5,independent_validation_candidates.avg_cvar_5,float,5 percent conditional value-at-risk proxy,risk metric
candidate.avg_turnover,independent_validation_candidates.avg_turnover,float,execution intensity proxy,cost/risk review
candidate.avg_trades,independent_validation_candidates.avg_trades,float,trade count proxy,cost/risk review
candidate.approval_state,independent_validation_candidates.status,string,external_evidence_only -> ReviewOnly,hard guard
candidate.requires_exact_validation,independent_validation_candidates.requires_quantlab_exact_rerun,boolean,true for fast-screen candidates; false for QBVS exact bundles but QuantLab may still rerun for approval,approval guard
candidate.requires_user_approval_before_quantlab_write,independent_validation_candidates.requires_user_approval,boolean,must be true before strategy-library write,hard guard
reports[].path/source,researchbus.attachments,array,PDF/report pointers for display only,read-only attachment
