item_id,document_id,event_id,theme_cluster_id,board_id,source_id,title,event_date,industry_tags,current_score,current_rank,previous_score,previous_rank,queue_state,explanation_state,reason_code,reason_detail,report_id,report_file_state,report_path,email_id,email_state,email_sent_at,model_version,parameter_version,source_registry_version,run_id,first_seen_at,last_updated_at
arxiv:2605.25295,2605.25295,S1P5T03-R:2026-05-24,math.PR,B1,arxiv:2605.25295,Accelerated Simulation Algorithms for Extreme First-Passage Problems with General Emission Profiles,2026-05-24,math.PR,55.88,1,NOT_APPLICABLE,NOT_APPLICABLE,covered_deep,report_generated,S1P5T03R_SELECTED,selected as daily lead; artifact_ref=reports.md#2026-05-24-arxiv-2605-25295; email_ref=email_previews.txt#2026-05-24-arxiv-2605-25295,b1-report:2026-05-24:arxiv-2605.25295,generated,reports.md#2026-05-24-arxiv-2605-25295,b1-email:2026-05-24:arxiv-2605.25295:c1201a71e2,preview_generated,NOT_SENT_DRY_RUN,adp-stage1-real-arxiv-30-asof-replay-v1,adp-stage1-real-arxiv-replay-parameters-v1,arxiv.atom.v1,daily:2026-05-24:arxiv:2605.25295,2026-05-24T05:00:00+10:00,2026-05-24T05:00:00+10:00
arxiv:2605.26392,2605.26392,S1P5T03-R:2026-05-25,math.OC,B1,arxiv:2605.26392,"Integrating Hydrogen into Ontario's Energy Hub: A Robust, Carbon-Aware Framework for Power-Heat-Transport",2026-05-25,math.OC,57.11,1,NOT_APPLICABLE,NOT_APPLICABLE,covered_deep,report_generated,S1P5T03R_SELECTED,selected as daily lead; artifact_ref=reports.md#2026-05-25-arxiv-2605-26392; email_ref=email_previews.txt#2026-05-25-arxiv-2605-26392,b1-report:2026-05-25:arxiv-2605.26392,generated,reports.md#2026-05-25-arxiv-2605-26392,b1-email:2026-05-25:arxiv-2605.26392:a9cb653e3e,preview_generated,NOT_SENT_DRY_RUN,adp-stage1-real-arxiv-30-asof-replay-v1,adp-stage1-real-arxiv-replay-parameters-v1,arxiv.atom.v1,daily:2026-05-25:arxiv:2605.26392,2026-05-25T05:00:00+10:00,2026-05-25T05:00:00+10:00
arxiv:2605.27772,2605.27772,S1P5T03-R:2026-05-26,cs.SD,B1,arxiv:2605.27772,Do Audio LLMs Listen or Read? Analyzing and Mitigating Paralinguistic Failures with VoxParadox,2026-05-26,cs.SD,57.3,1,NOT_APPLICABLE,NOT_APPLICABLE,covered_deep,report_generated,S1P5T03R_SELECTED,selected as daily lead; artifact_ref=reports.md#2026-05-26-arxiv-2605-27772; email_ref=email_previews.txt#2026-05-26-arxiv-2605-27772,b1-report:2026-05-26:arxiv-2605.27772,generated,reports.md#2026-05-26-arxiv-2605-27772,b1-email:2026-05-26:arxiv-2605.27772:e7f011768b,preview_generated,NOT_SENT_DRY_RUN,adp-stage1-real-arxiv-30-asof-replay-v1,adp-stage1-real-arxiv-replay-parameters-v1,arxiv.atom.v1,daily:2026-05-26:arxiv:2605.27772,2026-05-26T05:00:00+10:00,2026-05-26T05:00:00+10:00
arxiv:2605.29181,2605.29181,S1P5T03-R:2026-05-27,quant-ph,B1,arxiv:2605.29181,A Variational Quantum Algorithm for Nonlinear Finite Element Analysis of Hyperelastic Materials,2026-05-27,quant-ph,57.81,1,NOT_APPLICABLE,NOT_APPLICABLE,covered_deep,report_generated,S1P5T03R_SELECTED,selected as daily lead; artifact_ref=reports.md#2026-05-27-arxiv-2605-29181; email_ref=email_previews.txt#2026-05-27-arxiv-2605-29181,b1-report:2026-05-27:arxiv-2605.29181,generated,reports.md#2026-05-27-arxiv-2605-29181,b1-email:2026-05-27:arxiv-2605.29181:2f4bc42612,preview_generated,NOT_SENT_DRY_RUN,adp-stage1-real-arxiv-30-asof-replay-v1,adp-stage1-real-arxiv-replay-parameters-v1,arxiv.atom.v1,daily:2026-05-27:arxiv:2605.29181,2026-05-27T05:00:00+10:00,2026-05-27T05:00:00+10:00
arxiv:2605.29184,2605.29184,S1P5T03-R:2026-05-27,cs.LG,B1,arxiv:2605.29184,Influence-Guided Symbolic Regression: Scientific Discovery via LLM-Driven Equation Search with Granular Feedback,2026-05-27,cs.LG,56.3,1,NOT_APPLICABLE,NOT_APPLICABLE,queued,not_generated,S1P5T03R_QUEUED,queued candidate after daily selection; artifact_ref=queue_ledgers.jsonl#2026-05-27,NOT_GENERATED_QUEUE_CANDIDATE,not_generated,NOT_APPLICABLE,NOT_GENERATED_QUEUE_CANDIDATE,not_sent_queue,NOT_SENT_DRY_RUN,adp-stage1-real-arxiv-30-asof-replay-v1,adp-stage1-real-arxiv-replay-parameters-v1,arxiv.atom.v1,daily:2026-05-27:arxiv:2605.29181,2026-05-27T05:00:00+10:00,2026-05-27T05:00:00+10:00
arxiv:2605.29184,2605.29184,S1P5T03-R:2026-05-28,cs.LG,B1,arxiv:2605.29184,Influence-Guided Symbolic Regression: Scientific Discovery via LLM-Driven Equation Search with Granular Feedback,2026-05-28,cs.LG,56.3,1,NOT_APPLICABLE,NOT_APPLICABLE,covered_deep,report_generated,S1P5T03R_SELECTED,selected as daily lead; artifact_ref=reports.md#2026-05-28-arxiv-2605-29184; email_ref=email_previews.txt#2026-05-28-arxiv-2605-29184,b1-report:2026-05-28:arxiv-2605.29184,generated,reports.md#2026-05-28-arxiv-2605-29184,b1-email:2026-05-28:arxiv-2605.29184:c90eccf66c,preview_generated,NOT_SENT_DRY_RUN,adp-stage1-real-arxiv-30-asof-replay-v1,adp-stage1-real-arxiv-replay-parameters-v1,arxiv.atom.v1,daily:2026-05-28:arxiv:2605.29184,2026-05-28T05:00:00+10:00,2026-05-28T05:00:00+10:00
arxiv:2605.30664,2605.30664,S1P5T03-R:2026-05-28,cs.AI,B1,arxiv:2605.30664,Structure-Induced Information for Rerooting Levin Tree Search,2026-05-28,cs.AI,57.1,1,NOT_APPLICABLE,NOT_APPLICABLE,queued,not_generated,S1P5T03R_QUEUED,queued candidate after daily selection; artifact_ref=queue_ledgers.jsonl#2026-05-28,NOT_GENERATED_QUEUE_CANDIDATE,not_generated,NOT_APPLICABLE,NOT_GENERATED_QUEUE_CANDIDATE,not_sent_queue,NOT_SENT_DRY_RUN,adp-stage1-real-arxiv-30-asof-replay-v1,adp-stage1-real-arxiv-replay-parameters-v1,arxiv.atom.v1,daily:2026-05-28:arxiv:2605.29184,2026-05-28T05:00:00+10:00,2026-05-28T05:00:00+10:00
arxiv:2605.30664,2605.30664,S1P5T03-R:2026-05-29,cs.AI,B1,arxiv:2605.30664,Structure-Induced Information for Rerooting Levin Tree Search,2026-05-29,cs.AI,57.1,1,NOT_APPLICABLE,NOT_APPLICABLE,covered_deep,report_generated,S1P5T03R_SELECTED,selected as daily lead; artifact_ref=reports.md#2026-05-29-arxiv-2605-30664; email_ref=email_previews.txt#2026-05-29-arxiv-2605-30664,b1-report:2026-05-29:arxiv-2605.30664,generated,reports.md#2026-05-29-arxiv-2605-30664,b1-email:2026-05-29:arxiv-2605.30664:a46a07d68a,preview_generated,NOT_SENT_DRY_RUN,adp-stage1-real-arxiv-30-asof-replay-v1,adp-stage1-real-arxiv-replay-parameters-v1,arxiv.atom.v1,daily:2026-05-29:arxiv:2605.30664,2026-05-29T05:00:00+10:00,2026-05-29T05:00:00+10:00
arxiv:2606.00430,2606.00430,S1P5T03-R:2026-05-29,physics.soc-ph,B1,arxiv:2606.00430,SF-LIFE: A Large-Scale Simulated Movement Dataset for the San Francisco Bay Area,2026-05-29,physics.soc-ph,59.38,1,NOT_APPLICABLE,NOT_APPLICABLE,queued,not_generated,S1P5T03R_QUEUED,queued candidate after daily selection; artifact_ref=queue_ledgers.jsonl#2026-05-29,NOT_GENERATED_QUEUE_CANDIDATE,not_generated,NOT_APPLICABLE,NOT_GENERATED_QUEUE_CANDIDATE,not_sent_queue,NOT_SENT_DRY_RUN,adp-stage1-real-arxiv-30-asof-replay-v1,adp-stage1-real-arxiv-replay-parameters-v1,arxiv.atom.v1,daily:2026-05-29:arxiv:2605.30664,2026-05-29T05:00:00+10:00,2026-05-29T05:00:00+10:00
arxiv:2606.00430,2606.00430,S1P5T03-R:2026-05-30,physics.soc-ph,B1,arxiv:2606.00430,SF-LIFE: A Large-Scale Simulated Movement Dataset for the San Francisco Bay Area,2026-05-30,physics.soc-ph,59.38,1,NOT_APPLICABLE,NOT_APPLICABLE,covered_deep,report_generated,S1P5T03R_SELECTED,selected as daily lead; artifact_ref=reports.md#2026-05-30-arxiv-2606-00430; email_ref=email_previews.txt#2026-05-30-arxiv-2606-00430,b1-report:2026-05-30:arxiv-2606.00430,generated,reports.md#2026-05-30-arxiv-2606-00430,b1-email:2026-05-30:arxiv-2606.00430:255b0b3b11,preview_generated,NOT_SENT_DRY_RUN,adp-stage1-real-arxiv-30-asof-replay-v1,adp-stage1-real-arxiv-replay-parameters-v1,arxiv.atom.v1,daily:2026-05-30:arxiv:2606.00430,2026-05-30T05:00:00+10:00,2026-05-30T05:00:00+10:00
