symbol,market,source_symbol,original_symbol,asset_class,tradability,currency,timezone,source,notes
511010.SS,CN_ETF,SH.511010,511010.SS,BOND,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,CNY,Asia/Shanghai,yahoo_public_chart,Public historical data fallback for validation only; not proof of account tradability.
511220.SS,CN_ETF,SH.511220,511220.SS,BOND,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,CNY,Asia/Shanghai,yahoo_public_chart,Public historical data fallback for validation only; not proof of account tradability.
518880.SS,CN_ETF,SH.518880,518880.SS,COMMODITY,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,CNY,Asia/Shanghai,yahoo_public_chart,Public historical data fallback for validation only; not proof of account tradability.
510050.SS,CN_ETF,SH.510050,510050.SS,ETF,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,CNY,Asia/Shanghai,yahoo_public_chart,Public historical data fallback for validation only; not proof of account tradability.
513100.SS,CN_ETF,SH.513100,513100.SS,ETF,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,CNY,Asia/Shanghai,yahoo_public_chart,Public historical data fallback for validation only; not proof of account tradability.
513180.SS,CN_ETF,SH.513180,513180.SS,ETF,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,CNY,Asia/Shanghai,yahoo_public_chart,Public historical data fallback for validation only; not proof of account tradability.
513330.SS,CN_ETF,SH.513330,513330.SS,ETF,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,CNY,Asia/Shanghai,yahoo_public_chart,Public historical data fallback for validation only; not proof of account tradability.
515030.SS,CN_ETF,SH.515030,515030.SS,ETF,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,CNY,Asia/Shanghai,yahoo_public_chart,Public historical data fallback for validation only; not proof of account tradability.
516160.SS,CN_ETF,SH.516160,516160.SS,ETF,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,CNY,Asia/Shanghai,yahoo_public_chart,Public historical data fallback for validation only; not proof of account tradability.
2800.HK,HK,HK.2800,2800.HK,ETF,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,HKD,Asia/Hong_Kong,yahoo_public_chart,Public historical data fallback for validation only; not proof of account tradability.
2822.HK,HK,HK.2822,2822.HK,ETF,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,HKD,Asia/Hong_Kong,yahoo_public_chart,Public historical data fallback for validation only; not proof of account tradability.
0941.HK,HK,HK.0941,0941.HK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,HKD,Asia/Hong_Kong,yahoo_public_chart,Public historical data fallback for validation only; not proof of account tradability.
1024.HK,HK,HK.1024,1024.HK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,HKD,Asia/Hong_Kong,yahoo_public_chart,Public historical data fallback for validation only; not proof of account tradability.
2318.HK,HK,HK.2318,2318.HK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,HKD,Asia/Hong_Kong,yahoo_public_chart,Public historical data fallback for validation only; not proof of account tradability.
3690.HK,HK,HK.3690,3690.HK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,HKD,Asia/Hong_Kong,yahoo_public_chart,Public historical data fallback for validation only; not proof of account tradability.
9988.HK,HK,HK.9988,9988.HK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,HKD,Asia/Hong_Kong,yahoo_public_chart,Public historical data fallback for validation only; not proof of account tradability.
BIL,US_ETF,US.BIL,BIL,BOND,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,yahoo_public_chart,Public historical data fallback for validation only; not proof of account tradability.
MUB,US_ETF,US.MUB,MUB,BOND,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,yahoo_public_chart,Public historical data fallback for validation only; not proof of account tradability.
TLT,US_ETF,US.TLT,TLT,BOND,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,yahoo_public_chart,Public historical data fallback for validation only; not proof of account tradability.
VCSH,US_ETF,US.VCSH,VCSH,BOND,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,yahoo_public_chart,Public historical data fallback for validation only; not proof of account tradability.
GLD,US_ETF,US.GLD,GLD,COMMODITY,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,yahoo_public_chart,Public historical data fallback for validation only; not proof of account tradability.
