symbol,market,source,source_path,cache_path,metadata_path,asset_class,tradability,currency,timezone,quality_score,quality_grade,quality_warnings,gap_ratio,max_abs_daily_return,bars,start,end
US.DIA,US_ETF,moomoo_opend,127.0.0.1:11111,data_cache_moomoo_batch10/US_ETF/US.DIA.csv,data_cache_moomoo_batch10/US_ETF/US.DIA.metadata.json,ETF,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,100.0,A,,0.0,0.1276837349105036,1614,2020-01-02,2026-06-04
US.IVV,US_ETF,moomoo_opend,127.0.0.1:11111,data_cache_moomoo_batch10/US_ETF/US.IVV.csv,data_cache_moomoo_batch10/US_ETF/US.IVV.metadata.json,ETF,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,100.0,A,,0.0,0.1157429570959613,1614,2020-01-02,2026-06-04
US.IWM,US_ETF,moomoo_opend,127.0.0.1:11111,data_cache_moomoo_batch10/US_ETF/US.IWM.csv,data_cache_moomoo_batch10/US_ETF/US.IWM.metadata.json,ETF,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,100.0,A,,0.0,0.1326692893630264,1614,2020-01-02,2026-06-04
US.QQQ,US_ETF,moomoo_opend,127.0.0.1:11111,data_cache_moomoo_batch10/US_ETF/US.QQQ.csv,data_cache_moomoo_batch10/US_ETF/US.QQQ.metadata.json,ETF,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,100.0,A,,0.0,0.1202626680144263,1614,2020-01-02,2026-06-04
US.RSP,US_ETF,moomoo_opend,127.0.0.1:11111,data_cache_moomoo_batch10/US_ETF/US.RSP.csv,data_cache_moomoo_batch10/US_ETF/US.RSP.metadata.json,ETF,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,100.0,A,,0.0,0.1204153778282606,1614,2020-01-02,2026-06-04
US.SCHD,US_ETF,moomoo_opend,127.0.0.1:11111,data_cache_moomoo_batch10/US_ETF/US.SCHD.csv,data_cache_moomoo_batch10/US_ETF/US.SCHD.metadata.json,ETF,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,100.0,A,,0.0,0.0994623656216104,1614,2020-01-02,2026-06-04
US.SPY,US_ETF,moomoo_opend,127.0.0.1:11111,data_cache_moomoo_batch10/US_ETF/US.SPY.csv,data_cache_moomoo_batch10/US_ETF/US.SPY.metadata.json,ETF,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,100.0,A,,0.0,0.1094237338460113,1614,2020-01-02,2026-06-04
US.VIG,US_ETF,moomoo_opend,127.0.0.1:11111,data_cache_moomoo_batch10/US_ETF/US.VIG.csv,data_cache_moomoo_batch10/US_ETF/US.VIG.metadata.json,ETF,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,100.0,A,,0.0,0.1066381554467794,1614,2020-01-02,2026-06-04
US.VOO,US_ETF,moomoo_opend,127.0.0.1:11111,data_cache_moomoo_batch10/US_ETF/US.VOO.csv,data_cache_moomoo_batch10/US_ETF/US.VOO.metadata.json,ETF,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,100.0,A,,0.0,0.1173881440822542,1614,2020-01-02,2026-06-04
US.VTI,US_ETF,moomoo_opend,127.0.0.1:11111,data_cache_moomoo_batch10/US_ETF/US.VTI.csv,data_cache_moomoo_batch10/US_ETF/US.VTI.metadata.json,ETF,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,100.0,A,,0.0,0.1138085779449986,1614,2020-01-02,2026-06-04
US.ACWI,US_ETF,moomoo_opend,127.0.0.1:11111,data_cache_moomoo_batch11_30/US_ETF/US.ACWI.csv,data_cache_moomoo_batch11_30/US_ETF/US.ACWI.metadata.json,ETF,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,100.0,A,,0.0,0.1121524523559527,1614,2020-01-02,2026-06-04
US.EEM,US_ETF,moomoo_opend,127.0.0.1:11111,data_cache_moomoo_batch11_30/US_ETF/US.EEM.csv,data_cache_moomoo_batch11_30/US_ETF/US.EEM.metadata.json,ETF,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,100.0,A,,0.0,0.1247924737081169,1614,2020-01-02,2026-06-04
US.EFA,US_ETF,moomoo_opend,127.0.0.1:11111,data_cache_moomoo_batch11_30/US_ETF/US.EFA.csv,data_cache_moomoo_batch11_30/US_ETF/US.EFA.metadata.json,ETF,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,100.0,A,,0.0,0.1099018733444593,1614,2020-01-02,2026-06-04
US.HYG,US_ETF,moomoo_opend,127.0.0.1:11111,data_cache_moomoo_batch11_30/US_ETF/US.HYG.csv,data_cache_moomoo_batch11_30/US_ETF/US.HYG.metadata.json,BOND,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,100.0,A,,0.0,0.0662329458129646,1614,2020-01-02,2026-06-04
